States,Latitude,Longitude,Year,Sex_Edu_Mand,HIV_STD_Edu_Mand,HR_Edu_Mand,Sex_Edu_AA_S,Sex_Edu_AA_HIV,Sex_Edu_CA_S,Sex_Edu_CA_HIV,Sex_Edu_MA_S,Sex_Edu_MA_HIV,Sex_Edu_PR,Abstinance_S,Abstinence_C,Contraceptive_C,Promote_Marriage,Sexuality,Neg_Teen_Sex,LS_Coersion,LS_RS,LS_Consent,LS_DM,LS_VP,LS_FC,HIV_Condoms_Contraception,HIV_Abstinence_S,HIV_Abstinence_C,Parent_Notif_S,Parent_Notif_HIV
Nebraska,41.12537,-98.268082,2003,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Nevada,38.313515,-117.055374,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Consent,Consent
New Hampshire,43.452492,-71.563896,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
New Jersey,40.298904,-74.521011,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
New York,42.165726,-74.948051,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
North Dakota,47.528912,-99.784012,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Ohio,40.388783,-82.764915,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Oklahoma,35.565342,-96.928917,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2003,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Texas,31.054487,-97.563461,2003,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Utah,40.150032,-111.862434,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Consent
Vermont,44.045876,-72.710686,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Virginia,37.769337,-78.169968,2003,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Washington,47.400902,-121.490494,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
West Virginia,38.491226,-80.954453,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Wisconsin,44.268543,-89.616508,2003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Wyoming,42.755966,-107.30249,2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Alabama,32.806671,-86.79113,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Alaska,61.370716,-152.404419,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Arizona,33.729759,-111.431221,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Opt-out
Arkansas,34.969704,-92.373123,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
California,36.116203,-119.681564,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Colorado,39.059811,-105.311104,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Connecticut,41.597782,-72.755371,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Delaware,39.318523,-75.507141,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA
District of Columbia,38.897438,-77.026817,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Florida,27.766279,-81.686783,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Hawaii,21.094318,-157.498337,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
Idaho,44.240459,-114.478828,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Illinois,40.349457,-88.986137,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
Iowa,42.011539,-93.210526,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kansas,38.5266,-96.726486,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kentucky,37.66814,-84.670067,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
Louisiana,31.169546,-91.867805,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Maryland,39.063946,-76.802101,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Massachusetts,42.230171,-71.530106,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Michigan,43.326618,-84.536095,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Minnesota,45.694454,-93.900192,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Mississippi,32.741646,-89.678696,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Missouri,38.456085,-92.288368,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Montana,46.921925,-110.454353,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,Opt-out
Nebraska,41.12537,-98.268082,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Nevada,38.313515,-117.055374,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Consent,Consent
New Hampshire,43.452492,-71.563896,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
New Jersey,40.298904,-74.521011,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
New York,42.165726,-74.948051,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
North Dakota,47.528912,-99.784012,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Ohio,40.388783,-82.764915,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Oklahoma,35.565342,-96.928917,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Texas,31.054487,-97.563461,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Utah,40.150032,-111.862434,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Consent
Vermont,44.045876,-72.710686,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Virginia,37.769337,-78.169968,2004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Washington,47.400902,-121.490494,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
West Virginia,38.491226,-80.954453,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Wisconsin,44.268543,-89.616508,2004,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Wyoming,42.755966,-107.30249,2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Alabama,32.806671,-86.79113,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Alaska,61.370716,-152.404419,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Arizona,33.729759,-111.431221,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Opt-out
Arkansas,34.969704,-92.373123,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
California,36.116203,-119.681564,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Colorado,39.059811,-105.311104,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Connecticut,41.597782,-72.755371,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Delaware,39.318523,-75.507141,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA
District of Columbia,38.897438,-77.026817,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Florida,27.766279,-81.686783,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Hawaii,21.094318,-157.498337,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
Idaho,44.240459,-114.478828,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Illinois,40.349457,-88.986137,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
Iowa,42.011539,-93.210526,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kansas,38.5266,-96.726486,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kentucky,37.66814,-84.670067,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
Louisiana,31.169546,-91.867805,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Maryland,39.063946,-76.802101,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Massachusetts,42.230171,-71.530106,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Michigan,43.326618,-84.536095,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Minnesota,45.694454,-93.900192,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Mississippi,32.741646,-89.678696,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Missouri,38.456085,-92.288368,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Montana,46.921925,-110.454353,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,Opt-out
Nebraska,41.12537,-98.268082,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Nevada,38.313515,-117.055374,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Consent,Consent
New Hampshire,43.452492,-71.563896,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
New Jersey,40.298904,-74.521011,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
New York,42.165726,-74.948051,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
North Dakota,47.528912,-99.784012,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Ohio,40.388783,-82.764915,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Oklahoma,35.565342,-96.928917,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Texas,31.054487,-97.563461,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Utah,40.150032,-111.862434,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Consent
Vermont,44.045876,-72.710686,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Virginia,37.769337,-78.169968,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Washington,47.400902,-121.490494,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
West Virginia,38.491226,-80.954453,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Wisconsin,44.268543,-89.616508,2005,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Wyoming,42.755966,-107.30249,2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Alabama,32.806671,-86.79113,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Alaska,61.370716,-152.404419,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,33.729759,-111.431221,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Opt-out
Arkansas,34.969704,-92.373123,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
California,36.116203,-119.681564,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Colorado,39.059811,-105.311104,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Connecticut,41.597782,-72.755371,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Delaware,39.318523,-75.507141,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA
District of Columbia,38.897438,-77.026817,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Florida,27.766279,-81.686783,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Hawaii,21.094318,-157.498337,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
Idaho,44.240459,-114.478828,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Illinois,40.349457,-88.986137,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
